week,age_group,val_n,val_mean,val_sd,val_5,val_10,val_25,val_50,val_75,val_90,val_95,qval_mean,qval_sd,qval_5,qval_10,qval_25,qval_50,qval_75,qval_90,qval_95,age_mean,age_sd,age_5,age_10,age_25,age_50,age_75,age_90,age_95,bmi_n,bmi_mean,bmi_sd,bmi_5,bmi_10,bmi_25,bmi_50,bmi_75,bmi_90,bmi_95,baby_weight_n,baby_weight_mean,baby_weight_sd,baby_weight_5,baby_weight_10,baby_weight_25,baby_weight_50,baby_weight_75,baby_weight_90,baby_weight_95
"[-60,-59)","[20,25)",256,4.32160155754536,0.357626398414468,3.70000004768372,3.90000009536743,4.14250004291534,4.37999987602234,4.54750001430512,4.69999980926514,4.80000019073486,0.525938836297428,0.301522653239265,0.0364613737910986,0.0939119383692741,0.262494772672653,0.533524394035339,0.772874563932419,0.912818372249603,0.950753107666969,22.7920042273116,1.41465967316402,20.3940924657534,20.7715753424658,21.6827054794521,22.8106164383562,24.0825057077626,24.625799086758,24.7227739726027,90,24.0344608951498,6.00405788787312,17.5717200279236,18.2713203430176,20.0656504631043,22.5504493713379,26.4745998382568,33.0063762664795,35.4336761474609,242,3087.1652892562,535.117109718813,2183.7,2500.4,2826.25,3112,3451.25,3749,3878.6
"[-60,-59)","[25,30)",409,4.27958435359386,0.352218568807595,3.70000004768372,3.83199992179871,4.09999990463257,4.30000019073486,4.5,4.69999980926514,4.80000019073486,0.516859111483414,0.29627301745374,0.0390049666166306,0.0679976209998131,0.272762417793274,0.536242067813873,0.782341837882996,0.923860955238342,0.96060848236084,27.6135889406169,1.45715781120308,25.2919178082192,25.5774429223744,26.4729452054795,27.6255707762557,28.9077625570776,29.6257305936073,29.8079223744292,120,24.2529438927439,4.88644369181812,17.8923593521118,19.349019241333,20.9360618591309,23.3336744308472,26.3691754341126,31.6411148071289,34.2369303703308,386,3202.52590673575,550.450031328399,2213.75,2567,2956.25,3226,3512.25,3835,4029
"[-60,-59)","[30,35]",381,4.24603675544418,0.35117364843962,3.67000007629395,3.90000009536743,4,4.30000019073486,4.5,4.67999982833862,4.80000019073486,0.491253317370424,0.303894824252588,0.0276899449527264,0.10519253462553,0.185139790177345,0.545825302600861,0.792545795440674,0.902554273605347,0.965059399604797,32.3080229269287,1.37374918387743,30.212100456621,30.4506849315069,31.2204337899543,32.1791095890411,33.4614155251142,34.3407534246575,34.5845890410959,91,25.4186928368313,6.17596203347158,18.7641496658325,19.2187995910645,20.4371500015259,23.8750991821289,28.4805994033814,34.2560997009277,38.1605501174927,360,3178.025,542.044604376526,2227,2543.5,2883.75,3218,3522.5,3781.8,3955.25
"[-59,-58)","[20,25)",247,4.30659918263856,0.37075479703247,3.6760000705719,3.79999995231628,4.09999990463257,4.40000009536743,4.59999990463257,4.72399988174439,4.80000019073486,0.515891222057012,0.317446148964374,0.0242833748459816,0.0565278083086014,0.239916354417801,0.561565697193146,0.806184351444244,0.918046438694,0.95678403377533,22.8754214963119,1.41687928033148,20.3888242009132,20.8795890410959,21.7776255707763,22.8366438356164,24.2110730593607,24.6852283105023,24.8126369863014,77,22.8905581065587,4.4486432095731,16.9671607971191,18.7421997070313,20.1951007843018,22.0604000091553,24.7409000396729,28.8640201568604,31.2171199798584,227,3093.30837004405,534.592460831071,2330.2,2428,2865,3150,3421,3684.8,3766.8
"[-59,-58)","[25,30)",442,4.25147059330573,0.369549410268062,3.67150007486343,3.81399993896484,4.08249998092651,4.30000019073486,4.5,4.69999980926514,4.80000019073486,0.489287111712767,0.298648434646845,0.0281940937042236,0.0667372263967991,0.201036464422941,0.533879548311234,0.779333174228668,0.919765889644623,0.95902693271637,27.5357817310275,1.40633145626573,25.2414611872146,25.6335730593607,26.384446347032,27.4735730593607,28.7224885844749,29.4692351598174,29.7755479452055,129,23.9927001541591,4.98564114935658,17.6371896743774,18.547830581665,20.4381999969482,23.1139001846314,25.7777996063232,31.8078800201416,33.6626879882813,413,3157.06295399516,513.257638807417,2348,2667.6,2886,3150,3480,3758,3904.8
"[-59,-58)","[30,35]",383,4.25297649659936,0.366361791455022,3.59999990463257,3.79999995231628,4.09999990463257,4.30000019073486,4.5,4.66800003051758,4.79800019264221,0.506707571704043,0.304819556927954,0.0252091847360134,0.0642942637205124,0.274810642004013,0.545825302600861,0.796112716197968,0.88843297958374,0.963172644376754,32.265584427197,1.42340317599674,30.2085045662101,30.3899771689498,31.0010273972603,32.2315068493151,33.4117579908676,34.3006164383562,34.5845091324201,117,24.6538171310371,5.42712902944724,18.1298593521118,18.7855201721191,20.7966995239258,23.1473007202148,26.8386001586914,32.6644607543945,36.1495399475098,352,3179.14488636364,522.587926899673,2432.2,2589.1,2867.25,3212.5,3545,3805,3924.5
"[-58,-57)","[20,25)",211,4.33639811622023,0.306254354523281,3.90000009536743,4,4.17000007629395,4.30000019073486,4.5,4.69999980926514,4.80000019073486,0.520444588848253,0.282340845788747,0.0808164924383164,0.142930686473846,0.266038358211517,0.519709169864655,0.766122043132782,0.916910111904144,0.953335225582123,22.822565950356,1.3443801643392,20.4708333333333,20.9707762557078,21.7642123287671,22.8479452054795,23.9559360730594,24.6228310502283,24.7680936073059,79,22.6467913042141,4.23415604176982,17.6015705108643,18.6098201751709,19.8628997802734,21.2182998657227,25.0130500793457,29.1684192657471,30.359624671936,199,3119.13567839196,526.451669468604,2219,2445.6,2855,3200,3450,3674.8,3906.4
"[-58,-57)","[25,30)",395,4.27635442154317,0.351864325566362,3.70000004768372,3.85399990081787,4.09999990463257,4.30000019073486,4.5,4.69999980926514,4.80000019073486,0.509337381133515,0.299395892437953,0.0364135093986988,0.0712824106216431,0.272762417793274,0.535777926445007,0.780832409858704,0.92467987537384,0.960711777210236,27.591979076354,1.34284425497388,25.4769178082192,25.7319178082192,26.5698059360731,27.516095890411,28.6670662100457,29.4713698630137,29.7718721461187,100,23.8749567155838,5.04795836099227,18.1335753917694,18.4785402297974,20.540424823761,22.1733503341675,26.5901124477386,30.8872892379761,33.7549226760864,367,3145.70572207085,551.605194149829,2302.6,2512.2,2863,3196,3492.5,3796.4,3890
"[-58,-57)","[30,35]",416,4.31127404593504,0.328262395898697,3.79999995231628,3.90000009536743,4.09999990463257,4.30000019073486,4.5,4.69999980926514,4.80000019073486,0.541868298549581,0.306469604810166,0.0627659410238266,0.107251457870007,0.277207396924496,0.562757134437561,0.807273775339127,0.937878012657166,0.968625903129578,32.3544237903934,1.40959720849056,30.3045947488585,30.4461757990868,31.0880136986301,32.284703196347,33.6771689497717,34.2735159817352,34.5732020547945,127,24.6885208789445,5.83044373888052,17.8258596420288,18.9843601226807,20.7570748329163,22.8059997558594,27.1204500198364,32.25804977417,39.2660913467407,380,3208.82894736842,522.778263840424,2374.75,2627.7,2939.75,3252.5,3538.25,3759.2,3995.05
"[-57,-56)","[20,25)",246,4.27268293136504,0.411016802623436,3.72500002384186,3.90000009536743,4.09999990463257,4.30000019073486,4.5,4.69999980926514,4.80000019073486,0.492442101167044,0.290811608701719,0.0368079841136932,0.0998998805880547,0.254442781209946,0.510496854782105,0.75968337059021,0.893273830413818,0.948632404208183,22.8277522552623,1.39809362168642,20.3933789954338,20.7159817351598,21.7435216894977,23.1325342465753,23.9614440639269,24.537899543379,24.8488584474886,89,23.3046039981342,4.6583385942082,18.5803005218506,19.1522205352783,20.0776996612549,21.7737998962402,25.2362995147705,29.0733600616455,34.059810256958,238,3101.06722689076,639.818951595,1910,2450,2866.5,3154.5,3485,3792.4,3976.5
