week,age_group,val_n,val_mean,val_sd,val_5,val_10,val_25,val_50,val_75,val_90,val_95,qval_mean,qval_sd,qval_5,qval_10,qval_25,qval_50,qval_75,qval_90,qval_95,age_mean,age_sd,age_5,age_10,age_25,age_50,age_75,age_90,age_95,bmi_n,bmi_mean,bmi_sd,bmi_5,bmi_10,bmi_25,bmi_50,bmi_75,bmi_90,bmi_95,baby_weight_n,baby_weight_mean,baby_weight_sd,baby_weight_5,baby_weight_10,baby_weight_25,baby_weight_50,baby_weight_75,baby_weight_90,baby_weight_95
"[-60,-59)","[20,25)",78,61.948717948718,21.8548324091881,29.7,33.1,50,59,74,85.8,98.6,0.437666068211771,0.273184190405119,0.029283210169524,0.0471620596945286,0.247843936085701,0.404711410403252,0.65932597219944,0.797774744033813,0.89091577231884,22.5123302306522,1.38551093509076,20.2639783105023,20.4907420091324,21.4735445205479,22.6721461187215,23.6858162100457,24.3674543378996,24.5250399543379,29,25.368823226841,6.79351241121439,18.4720802307129,19.155640411377,21.116400718689,23.6243991851807,26.5625,33.0945078531901,40.2232335408528,71,3066.2676056338,625.575231464073,2035,2385,2645,3055,3550.5,3852,3955
"[-60,-59)","[25,30)",113,64.7610619469027,19.1088397346636,34.6,43,52,64,74,89,102,0.490113996603914,0.255948047738712,0.060138051211834,0.140284940600395,0.279608428478241,0.512105584144592,0.675047099590302,0.835787701606751,0.905488014221191,27.4524386794359,1.45235081559142,25.1585388127854,25.4597488584475,26.2799086757991,27.5736301369863,28.4945205479452,29.3869863013699,29.8870091324201,32,24.8867530226707,5.06443994660823,19.0149192810059,19.5058195114136,21.3544495105743,24.9769992828369,27.0070252418518,31.4584957122803,34.8045747756958,107,3066.94392523364,599.148622878877,1979.7,2335,2745,3100,3522,3755,3910.4
"[-60,-59)","[30,35]",89,64.9887640449438,23.07177259121,30.4,38.6,47,63,81,95.2,106.6,0.490508470045968,0.297336845980356,0.0361161895096302,0.0987331479787827,0.214198663830757,0.503877580165863,0.769884347915649,0.881206274032593,0.928678739070892,32.2303075778564,1.34595769214409,30.2780136986301,30.4489497716895,31.1286529680365,32.2667808219178,32.9898401826484,34.3475114155251,34.6313242009132,21,24.4562762578328,4.19010548053451,19.2653007507324,19.3568000793457,21.8724002838135,23.6243991851807,27.0051002502441,30.1194000244141,30.4705009460449,87,3154.33333333333,658.326943350404,2228,2575.2,2847.5,3260,3555,3819.2,3952
"[-59,-58)","[20,25)",90,70.2111111111111,24.1570211927892,35.8,42.9,55,68.5,81,99.2,114.2,0.537531051608837,0.269530921691614,0.0693493274971843,0.138721486926079,0.32964389026165,0.571467816829681,0.749930575489998,0.881064999103547,0.941432613134384,22.9349670218163,1.38837076269448,20.4964269406393,20.95,21.8912385844749,23.0176940639269,24.1911244292237,24.6344863013699,24.806198630137,28,23.137015240533,4.30346792262646,16.7845527648926,17.9163202285767,19.2194499969482,23.769250869751,26.5422630310059,29.1184795379639,29.5500800132751,89,3173.11235955056,406.808516442381,2433,2692.4,2910,3215,3440,3652,3723
"[-59,-58)","[25,30)",109,64.0091743119266,29.4034815943194,25,34.8,46,58,78,98,127.6,0.44627019066637,0.305728819065548,0.0183172442018986,0.06704331189394,0.182588934898376,0.405170857906342,0.723124563694,0.881608903408051,0.963789629936218,27.5587480625026,1.43146601868037,25.4242237442922,25.5437899543379,26.5050228310502,27.6020547945206,28.6147260273973,29.5423515981735,29.8326255707763,25,24.5157723388672,4.33154520149609,17.4519794464111,19.2731792449951,21.755500793457,24.9108009338379,25.3906002044678,30.7637802124023,31.4589004516602,107,3181.52336448598,461.737476376415,2444.7,2653.2,2866.5,3144,3500,3735.2,3782.9
"[-59,-58)","[30,35]",81,62.7407407407408,23.2485363935979,33,37,45,58,74,99,108,0.450898953885944,0.285149293414182,0.0530248731374741,0.0850649997591972,0.181845173239708,0.412911325693131,0.683488607406616,0.89437735080719,0.936116218566895,32.2628826314899,1.44880237491179,30.1284246575342,30.2835616438356,30.6930365296804,32.4672374429224,33.6109589041096,33.9908675799087,34.4235159817352,12,25.0887707869212,4.50534556641632,19.7677648544312,19.8397203445435,20.7048745155335,25.5257248878479,28.1402502059937,28.8514307022095,30.9334105491638,73,3135.98630136986,542.601052880953,2308.6,2390.8,2880,3215,3518,3761,3882.8
"[-58,-57)","[20,25)",59,70.2881355932203,19.8737834999274,43,47.8,57.5,67,80,97.4,102.1,0.550399735317392,0.236023759764393,0.143818448483944,0.206737259030342,0.378677606582642,0.550763309001923,0.731759011745453,0.878725814819336,0.908731591701508,22.6301137682842,1.33759030970366,20.5419863013699,20.9816210045662,21.5785388127854,22.6803652968037,23.8381849315069,24.3720547945206,24.5551369863014,20,21.8194940884908,3.63083136412515,17.0994750022888,17.1875,19.8036499023438,21.4055495262146,24.4332002003988,25.8477996826172,26.616095495224,53,3090.66037735849,397.060542922624,2516,2635,2796,3095,3330,3494.4,3662
"[-58,-57)","[25,30)",108,68.787037037037,33.556773185943,32.4,39,48,63.5,79,100.1,115,0.496688750162893,0.29181602594574,0.05047413315624,0.107859747856855,0.220371104776859,0.504606395959854,0.73355595767498,0.892352223396301,0.945053488016129,27.4600636309826,1.42511593853908,25.4742123287671,25.6716780821918,26.1133561643836,27.4163812785388,28.8680650684932,29.3530936073059,29.6461130136986,26,22.5030463414314,3.61754043155102,18.9548246860504,19.3624744415283,19.9878749847412,21.8358918825785,23.3466744422913,25.0735502243042,29.7465748786926,101,3206.33663366337,509.818071025885,2430,2575,2975,3245,3495,3830,3940
"[-58,-57)","[30,35]",111,63.6225225087759,34.56117024044,30.5,37,47,58,74,93,101.5,0.447035824137463,0.28505924413217,0.0358704254031181,0.08368881046772,0.211562432348728,0.410277396440506,0.686657905578613,0.861710548400879,0.91287562251091,32.2757733761158,1.48376373137957,30.1498858447489,30.335502283105,30.939897260274,32.1334474885845,33.698002283105,34.3270547945206,34.4306506849315,33,27.0706217602046,6.25607207146123,18.3826198577881,19.6792392730713,22.6756992340088,25.8761005401611,29.9967002868652,37.0124198913574,39.7604606628418,107,3178.69158878505,515.228350386304,2477.6,2588,2889,3265,3510.5,3688,4070.5
"[-57,-56)","[20,25)",74,61.6486486486487,23.8634427997811,27.3,30.6,48,60.5,74.75,92.2,114.4,0.430706394383231,0.287912046779178,0.0196228660643101,0.0335244830697775,0.211433384567499,0.431798741221428,0.66403229534626,0.840667706727982,0.939656245708466,22.7175120325805,1.27552839377533,20.6936130136986,21.0091324200913,21.7359303652968,22.7569634703196,23.7452054794521,24.3941438356164,24.4829737442922,20,23.8479211330414,4.6493683268207,19.02991065979,19.6110300064087,21.2800498008728,23.2102999687195,24.4902744293213,31.1288101196289,33.671731376648,74,3038.62162162162,656.901437587241,1910,2493.5,2841.75,3105,3379.5,3723.6,3915.75
"[-57,-56)","[25,30)",119,66.5294117647059,29.7565897927119,29.8,37.8,49,61,80,98,117,0.473452351805402,0.28842733879232,0.0290940757840872,0.086105477809906,0.244010411202908,0.457909613847733,0.743570268154144,0.885719645023346,0.953480714559555,27.5336355089981,1.45855226746539,25.2336073059361,25.6595890410959,26.2844178082192,27.3381278538813,28.8316780821918,29.668904109589,29.875799086758,36,22.5390971766578,4.75382235779585,17.9155750274658,18.6202998161316,19.3624496459961,21.5130500793457,24.0911755561829,26.8386497497559,30.7045993804932,115,3192.37391304348,517.221973130434,2458.5,2646.4,2983.5,3140,3435,3669.2,4046.5
"[-57,-56)","[30,35]",101,77.818811888742,123.925329704724,34,42,50,59,76,94,111,0.48448442362046,0.284127624766757,0.0604974925518036,0.138230979442596,0.260715007781982,0.431880116462708,0.72039407491684,0.878834068775177,0.938428044319153,32.4384138071341,1.34243548161748,30.4586757990868,30.7086757990868,31.2937214611872,32.3763698630137,33.4173515981735,34.3736301369863,34.5296803652968,14,25.9514857019697,5.31592646635275,17.650705242157,18.8291402816772,22.3625502586365,26.3952498435974,28.8876748085022,31.5783100128174,33.9520099639893,96,3110.39583333333,622.915022998477,2047,2245,2727,3200,3481,3710,4021.25
"[-56,-55)","[20,25)",76,68.0657894736842,29.6923494192542,31.75,34.5,49,63.5,80.5,105.5,122.25,0.484304851117103,0.308905066398471,0.039665044285357,0.0563654787838459,0.231519464403391,0.492297291755676,0.746290117502213,0.916705042123795,0.960251957178116,22.6667718096611,1.42637483793419,20.3000285388128,20.8440068493151,21.3892123287671,22.7688356164384,23.8001997716895,24.6405251141553,24.7891837899543,20,23.0342292308807,4.82625269111075,16.5542103290558,16.6133003234863,20.195050239563,22.9890915552775,24.8251128196716,30.449800491333,30.485905456543,75,3111.2,538.540971866003,1859.6,2589.6,2922.5,3178,3448.5,3693,3769.2
"[-56,-55)","[25,30)",113,63.7610619469027,23.0373432621143,31.6,37.2,45,65,77,91,97,0.472326255333404,0.292050605913309,0.0428248442709446,0.0849009528756142,0.177002355456352,0.52542370557785,0.723124563694,0.850478041172028,0.881993079185486,27.7751030427931,1.44733935119835,25.254703196347,25.5099771689498,26.7570776255708,27.7987442922374,29.1748858447489,29.6166894977169,29.7818493150685,31,24.987646625888,5.24873103207466,19.3377246856689,19.3624496459961,20.6191997528076,23.0517997741699,28.125,31.4465503692627,34.3263492584229,105,3212.62857142857,556.753229708826,2473.4,2691,2945,3210,3485,3920,4044
"[-56,-55)","[30,35]",84,69.9166666666667,23.9845373548983,37,44.3,52.5,65,86,102.7,113.1,0.54674013400273,0.286405739803511,0.0834695015102625,0.171400122344494,0.304444663226604,0.54036295413971,0.81132447719574,0.915461623668671,0.948826688528061,31.8898999782561,1.41714211670856,30.126147260274,30.2174885844749,30.7464897260274,31.6251712328767,32.8314497716895,34.1800114155251,34.5068436073059,27,26.2923348214891,7.73043350695354,17.1608997344971,19.1876399993897,21.4086999893188,24.167200088501,28.0921497344971,39.210799407959,43.8666496276856,81,3340.17283950617,485.25989918093,2420,2660,3075,3440,3680,3940,4045
