"","age","ALBUMIN","BPs","CHOLESTEROL","CHOLESTEROL_LDL","CREATININE_BLOOD","FERRITIN","FIBRINOGEN","GLUCOSE_BLOOD","HEMOGLOBIN_A1C_CALCULATED","LACTIC_DEHYDROGENASE_LDH__BLOOD","TRIGLYCERIDES","PHOSPHATASE_ALKALINE","ALT_Alanine_aminotransferase_GPT","RDW","SPECIFIC_GRAVITY","TRANSFERRIN","URIC_ACID","UREA_BLOOD","PROTEIN_TOTAL_BLOOD","MCV","T3_FREE","BPd","Na","K","LYMP","GAMMA_GLUTAMYL_TRANSPEPTIDASE","AST_Aspartate_aminotransferase_GOT","BMI","BILIRUBIN_TOTAL","MONO","RBC","PHOSPHORUS_BLOOD","PLT","HCT","CALCIUM_BLOOD","CK_CREAT","MCHC","NEUT","BASOPHILES_abs","HGB","GLOBULIN","TSH_THYROID_STIMULATING_HORMONE","WBC","EOS","FOLIC_ACID","T4_FREE","IRON","MPV","CHOLESTEROL_HDL","Cl"
"age",325.896035690186,0.132101955885368,211.81811855615,139.396667039287,84.6293401368879,136.453177791207,612.950373927611,230.472789147911,150.571837038172,5.69395742902864,180.690922284653,193.353493927693,88.2551833611251,3.60948533141897,2.48589576693888,-0.0296877471582028,-314.614536114617,7.31811814696345,49.9537498281817,-0.250050148449426,18.8892543000511,-2.41113685744057,7.22601412940878,8.16157747694715,1.07874141783893,-0.910347171558116,64.3709633214163,20.1823295826283,4.48436903863754,0.283072656177654,0.128632494929725,-0.141429787637254,0.0275193429454369,-165.957253736188,4.51324127141078,1.38065210385248,-48.9783461735153,33243.918965288,-4.25955356924931,0.0313915563018358,1.97624937109466,-0.382105875982704,4.94076177240098,-5.00801602574484,0.103039279614912,128.265325807754,0.483104738899373,4.8917377812274,-0.162715157101677,15.0774514507481,-10.8297116739006
"ALBUMIN",0.132101955885368,0.133219599761735,-0.0374385528253726,0.249891976339264,0.570414093550176,-0.677269802290391,1.02115542667213,-5.83067407847219,-0.84964589602696,-0.0400798195042122,-0.773532306338028,-3.10942108108088,-2.06927204573636,0.388668785710152,-0.1271559403365,-0.000318537070275352,-0.272083616115325,-0.0134346724572305,0.0699400598740268,0.0831858673954987,0.269043648214569,0.00604496750728093,0.438612494369653,0.0512883582348755,-0.00333225910378919,0.00729150611922467,-0.320517264465747,0.237429162317699,-0.873680625547371,0.0230516883241066,-0.00689788216715533,0.0282196912905933,0.00437578609695006,-0.965671121710459,0.139197837207992,0.0637657454124965,1.62363893839071,849.841132365677,-0.111331529186238,-0.000669264863580725,0.144794219393609,-0.0500304251634498,0.0103063299404817,-0.116935764833756,-0.00251492208057377,1.55568856120306,-0.00216966408114377,2.17283038303669,0.00148223624933808,-0.248804117603495,-0.0840065990061822
"BPs",211.81811855615,-0.0374385528253726,441.830939946379,140.807498801373,84.9566270834632,109.884828855813,483.698457579093,274.825771776454,169.225734578958,5.37716029289791,183.139492479336,231.382382526956,98.1944114110539,12.2545630454484,3.12153777648209,-0.0151221497344384,-190.193435108095,6.5355754479199,32.0764440699202,0.914199628004906,1.89470604208832,-1.13101398947086,91.6721124877176,5.10471814399748,0.460312285403255,0.181273998896244,79.2721801028929,17.867279524053,21.5383324353139,-0.0998732649272913,0.202052000073534,0.399662140802925,-0.167587204708975,-25.4111682767711,-2.06217604157163,1.03030981908118,86.6177485974891,20870.7785600666,-1.97146379933964,0.0405968625479309,0.722460288740005,0.949312819993165,4.67055018758613,-1.54524684461642,0.0869764108328251,63.3105669196167,0.234297057810166,-38.0481777575818,0.615274957686758,3.38812598661763,-9.71784465033277
"CHOLESTEROL",139.396667039287,0.249891976339264,140.807498801373,1776.38755301395,1376.90891372691,-24.7194338421858,365.904530159126,245.80280148718,33.1935608020115,2.19588479445745,107.374212219003,1518.23661637211,139.012630619018,42.3785536005381,-6.58729712556304,-0.0189846661515297,341.510586297704,3.81746515739995,5.70418724789298,0.50731445853632,25.6548371268963,-2.17899986303422,54.553041560999,-5.80585502876875,0.241061947769343,1.58676623102033,116.255722292049,27.0501390602358,-7.55787666867785,0.241696809484966,-0.097510910420237,0.903286795193207,0.600705079212481,200.605307891525,47.6554842170573,2.52463262774358,-9.87560708360002,-53655.381198308,1.69677737056391,0.0650459415724802,8.26417176630944,0.260015286009259,9.25517923874822,3.64663742103366,-0.0367712481430162,74.806762663277,-0.93728633445233,125.918508633682,-2.00106010614694,150.115700632595,-15.1424089514531
"CHOLESTEROL_LDL",84.6293401368879,0.570414093550176,84.9566270834632,1376.90891372691,1295.45689245399,-36.9242407269797,257.783403023413,224.213820146759,15.4404052027717,1.0727912014044,66.774534772292,525.821388089117,105.672939371895,38.0999994589624,-3.79384748211492,-0.00791425995442549,59.7612868647879,3.09502017292625,1.28507769115618,1.20704893446129,6.94762641143425,-1.42057450380368,47.4764876885154,-1.35891348951741,0.303873195672699,1.08322960685632,33.26560524482,4.21065730362027,8.31154190160066,-0.0609797683319914,-0.142466924742926,1.56773429258344,0.0911994236972032,210.697225476886,25.6379716228376,1.42091162881274,-53.136836327158,-31347.6237277991,-0.746287392165662,0.0577380031591324,6.40897629566763,0.636122572160311,7.88889230517481,0.499150689010842,0.0591579339737716,11.9618467414508,-0.583863787493766,25.1237799522664,-0.65245960893577,-16.1372162166937,-5.76182730173058
"CREATININE_BLOOD",136.453177791207,-0.677269802290391,109.884828855813,-24.7194338421858,-36.9242407269797,1169.4747749708,1162.19056620054,588.778124931539,75.9242404678699,2.83395320383214,141.663857310514,12.724698705791,46.4451412570422,-1.4733440945893,6.1076354121739,-0.0136207950954612,-432.68408373742,12.9652816847717,105.546501546334,-0.262402351123365,16.0614830343086,-2.9648356464379,-3.95331013987462,5.04228138288136,1.93590296159753,-0.528431910827185,27.8674752477658,-0.657447417208804,12.1778570603496,0.346592792605217,0.250905220491938,-1.52244615899849,0.956215312465625,-137.988667805561,6.65471089956092,0.97380554381923,178.556322127012,-30320.692249942,-1.3750770380131,0.0479191967073307,-3.28480114652575,0.416100643034587,10.1352433416721,-1.52385483829553,0.265087835344659,32.0095790805041,0.353039772572801,-40.8472708623155,0.0464915322104407,-25.2895554489126,-5.59729627491152
"FERRITIN",612.950373927611,1.02115542667213,483.698457579093,365.904530159126,257.783403023413,1162.19056620054,13143.6807884157,1611.08373629783,676.131413323106,20.2047388549854,1049.77441464996,876.720837673013,489.237147428801,299.755917668902,-5.53873731825623,0.00335079577438329,-3028.86387322405,29.7723813944134,172.174107587747,4.98634825371128,115.783016174442,1.30477678740039,115.775803923641,32.2012054442417,2.74408973597809,5.75353205536329,806.741868967132,231.281623000475,46.111095242231,-0.0194138241408797,1.30212135629198,0.992315461620948,-0.157372392083697,-740.495201409533,-7.55105866018845,4.66620016030845,264.63180681418,213721.824040954,-8.11668769574562,0.205211616346299,20.1324345592021,3.96163262672289,10.7300769686153,-0.996103440598575,0.592168060673872,283.137130355228,0.194221739552231,549.786637075129,1.12607841317461,-132.947944012442,-64.9646487300777
"FIBRINOGEN",230.472789147911,-5.83067407847219,274.825771776454,245.80280148718,224.213820146759,588.778124931539,1611.08373629783,6542.77209822191,508.046754364606,20.496346376564,198.034749335682,331.409143045044,743.794520150663,-36.9507995627514,19.2382213036721,NA,-628.706326383896,24.1225674255416,90.2269401080651,6.05064625330647,-49.9232864927027,NA,-83.2702604028037,-3.64292670075602,1.9370048738276,4.09391868280305,119.611490807612,-35.7177001139745,142.969389755921,-1.40848767613931,2.60554571033261,2.1977145515152,0.95753863603043,780.434089509814,-3.26930617824392,1.75154678655427,NA,-9.9783141877533,30.5942446871343,0.17141075315272,-5.25031426889831,11.8813203317787,7.61455378043961,38.513982375772,1.32163812904002,NA,NA,-627.343483513021,3.14004274512676,-207.115980137103,-30.1753561492015
"GLUCOSE_BLOOD",150.571837038172,-0.84964589602696,169.225734578958,33.1935608020115,15.4404052027717,75.9242404678699,676.131413323106,508.046754364606,1221.36764096805,30.4947465530505,104.719009440302,701.849435109183,197.68742607696,44.2837353147741,2.97696508800386,0.0492379290431537,-198.160447488303,6.11492579523994,37.5709926962178,1.00874929625027,-11.588278752637,-0.758198088503995,16.4534027902986,-8.62732070757826,1.21573705682837,1.9420717987502,182.387293934664,16.3908173094447,52.6517581985078,-0.266146559613331,0.207828289049598,1.59082007247823,-0.0901297264509701,7.22119266986788,-18.1060009339904,0.913291068906467,-97.8027726597173,51585.9427477361,4.6648075801395,0.105149186289498,2.09624879075297,1.85274795146122,2.14883255401089,6.99689120606239,0.221140535733092,15.7252079015032,0.51590347479181,-76.16283658307,1.93941532519075,-95.5335882976262,-26.490443911522
"HEMOGLOBIN_A1C_CALCULATED",5.69395742902864,-0.0400798195042122,5.37716029289791,2.19588479445745,1.0727912014044,2.83395320383214,20.2047388549854,20.496346376564,30.4947465530505,1.11855010043049,4.56356769003296,18.5260434227541,6.067113575776,1.43245702895722,0.191827407555177,0.000952832161950127,-6.7478463392148,0.229260490392565,1.24291551986821,0.0357409024118947,-0.830787938014522,-0.0329250453729737,0.429945541518093,-0.153163777656606,0.0388771470390301,0.103950815088348,4.88244119130597,0.660876471968875,1.76804196635171,-0.0186830368938651,0.00858024858875122,0.0570740222067175,0.0020579421850907,1.58072482654082,-0.528679356807992,0.0318764126449686,0.152120847269182,1409.77415413285,0.0672306655427922,0.00361882648301203,-0.0120192534235812,0.0755883926933304,0.0168612316215452,0.185802058566952,0.00862780610696872,0.635178244838898,0.0109676782438357,-3.95472754720461,0.0629693700732835,-2.91843321237256,-0.724423265120628
