"","(Intercept)","PROTEIN_TOTAL_BLOOD","CHOLESTEROL","HEMOGLOBIN_A1C_CALCULATED","FIBRINOGEN","PHOSPHATASE_ALKALINE","UREA_BLOOD","BPs","T3_FREE","NEUT","TRANSFERRIN","RBC"
"(Intercept)",2.73715743222716,-0.130283501116852,-0.000500679814154165,-0.103446042480914,4.13421314366008e-05,0.000496423671297592,-0.001339760901479,-0.00193031636146106,-0.0513007417153392,-0.00943114169551337,-0.000642927360830502,-0.0993769540434347
"PROTEIN_TOTAL_BLOOD",-0.130283501116848,0.0266277038198127,4.46097880448737e-06,-0.00042181047343527,-1.93386362651845e-05,1.33784512691893e-06,-3.20601996293047e-05,-6.18359703596918e-05,-0.00192569365583193,0.00133040219542083,-4.11993368631771e-05,-0.00626060197021637
"CHOLESTEROL",-0.00050067981415412,4.46097880448516e-06,4.56745208687532e-06,1.29727025788861e-06,-4.60846462650839e-08,-5.98597029399938e-07,5.5574475338426e-08,-1.77761611802782e-06,2.08455920838517e-05,1.67034054095339e-06,-5.83366481136503e-07,-2.14180215255646e-05
"HEMOGLOBIN_A1C_CALCULATED",-0.10344604248092,-0.00042181047343487,1.29727025789046e-06,0.0279743521254597,-1.56383549850282e-05,-5.90304947022662e-05,-0.000154661334770679,-0.000151993088290457,0.00028992930875305,-5.49713926801091e-05,6.5908031806493e-06,-0.00418793003365668
"FIBRINOGEN",4.13421314365941e-05,-1.93386362651839e-05,-4.60846462650884e-08,-1.56383549850279e-05,4.94014809213467e-07,-6.07356671101913e-07,-5.2327778495119e-07,-1.40493495015759e-07,8.02624063229575e-06,-8.67034676557737e-06,1.54138772589357e-07,8.99889384613357e-07
"PHOSPHATASE_ALKALINE",0.0004964236712976,1.33784512691786e-06,-5.98597029399935e-07,-5.90304947022667e-05,-6.07356671101912e-07,1.06476454923154e-05,-6.46414076431561e-07,-1.58789781587439e-06,-4.6030897761513e-05,-8.96337410096628e-06,-7.07456098870538e-08,-2.42484018411181e-05
"UREA_BLOOD",-0.00133976090147891,-3.20601996293072e-05,5.55744753384434e-08,-0.000154661334770683,-5.23277784951197e-07,-6.46414076431534e-07,5.69607904535181e-05,-7.57927845622952e-06,9.90966794336689e-05,1.10307707332636e-05,2.12342556441392e-06,0.000180607284025194
"BPs",-0.00193031636146116,-6.18359703596982e-05,-1.77761611802778e-06,-0.000151993088290453,-1.40493495015748e-07,-1.58789781587444e-06,-7.57927845622927e-06,3.08233313073924e-05,2.18144986645212e-05,1.56862713344612e-05,8.31401682016626e-07,-2.57096730173586e-05
"T3_FREE",-0.0513007417153386,-0.00192569365583187,2.08455920838512e-05,0.000289929308753158,8.02624063229569e-06,-4.60308977615126e-05,9.90966794336688e-05,2.18144986645111e-05,0.0138471361502615,-9.37625935119199e-05,-9.45104610570885e-06,-0.00176314101743309
"NEUT",-0.00943114169551296,0.00133040219542078,1.67034054095339e-06,-5.49713926801164e-05,-8.67034676557736e-06,-8.96337410096584e-06,1.10307707332637e-05,1.56862713344613e-05,-9.37625935119071e-05,0.00282103198553028,-1.72483461740962e-05,-0.000858242990053912
"TRANSFERRIN",-0.000642927360830562,-4.11993368631751e-05,-5.83366481136481e-07,6.59080318064984e-06,1.54138772589354e-07,-7.07456098870747e-08,2.12342556441403e-06,8.31401682016618e-07,-9.45104610570751e-06,-1.7248346174096e-05,2.99144487113747e-06,1.93002110575857e-05
"RBC",-0.0993769540434323,-0.00626060197021573,-2.14180215255618e-05,-0.00418793003365744,8.99889384613043e-07,-2.42484018411168e-05,0.000180607284025191,-2.57096730173705e-05,-0.0017631410174331,-0.000858242990053902,1.93002110575792e-05,0.039521402815945
