"names","trimester","system","shortName","delta","deltase","p","p2"
"TSH_THYROID_STIMULATING_HORMONE","3","Thyroid","TSH",0.804904800059392,0.503902018831331,0.110189077226313,0.969641692350218
"UREA_BLOOD","1","Renal","Urea",-3.36440245248167,0.423450842063651,1.99840144432528e-15,6.87866673493298e-05
"UREA_BLOOD","2","Renal","Urea",-4.17296421387605,0.307041819075375,0,1.4432899320127e-15
"UREA_BLOOD","3","Renal","Urea",-5.07794818418593,0.252010365828589,0,0
"URIC_ACID","1","Renal","Uric acid",-3.91525070580571,0.426108536713725,0,1.87278876073727e-07
"URIC_ACID","2","Renal","Uric acid",-3.7167539694866,0.275274186689437,0,4.50972592602739e-13
"URIC_ACID","3","Renal","Uric acid",-2.16528028076875,0.296582138206901,2.86215495748365e-13,0.0807237044757058
"WBC","1","Immune","WBC",-0.1968543565455,0.0380834182306282,2.35311293117491e-07,1
"WBC","2","Immune","WBC",-0.349290644000586,0.0246316708808875,0,1
"WBC","3","Immune","WBC",-0.381469827671845,0.0248820798134485,0,1
