"names","trimester","system","shortName","delta","deltase","p","p2"
"ALBUMIN","1","Liver","Alb",1.22794304507497,0.135410188352943,0,0.999942223644292
"ALBUMIN","2","Liver","Alb",2.9018872363047,0.0849635359472511,0,0
"ALBUMIN","3","Liver","Alb",3.98787218722975,0.0840238046383968,0,0
"PHOSPHATASE_ALKALINE","1","Musculoskeletal","ALP",-1.1148393597967,0.316155903370951,0.000421516049576631,0.977732008461145
"PHOSPHATASE_ALKALINE","2","Musculoskeletal","ALP",-0.603736398793938,0.216039777051999,0.00519701878777301,0.999999943909695
"PHOSPHATASE_ALKALINE","3","Musculoskeletal","ALP",5.785283448223,0.366536074628574,0,0
"ALT_Alanine_aminotransferase_GPT","1","Liver","ALT",0.0430419606616972,0.029013121679088,0.137932514936685,1
"ALT_Alanine_aminotransferase_GPT","2","Liver","ALT",0.0452468381803847,0.0158627031893181,0.00433899148976535,1
"ALT_Alanine_aminotransferase_GPT","3","Liver","ALT",0.0996080271569811,0.0238252088141189,2.90507047540078e-05,1
"AST_Aspartate_aminotransferase_GOT","1","Liver","AST",-0.37102324006117,0.127032058626688,0.00349239717749361,1
"AST_Aspartate_aminotransferase_GOT","2","Liver","AST",-0.308536430115059,0.0680975850589828,5.87611895053186e-06,1
"AST_Aspartate_aminotransferase_GOT","3","Liver","AST",-0.392833418160753,0.161193504614104,0.0148084478013617,1
"BASOPHILES_abs","1","Immune","Baso",-0.0320194410573738,0.0614342740881247,0.602228617423473,1
"BASOPHILES_abs","2","Immune","Baso",0.0150295335575427,0.0413580477207834,0.716305758359035,1
"BASOPHILES_abs","3","Immune","Baso",0.0892663205235875,0.0476617243188368,0.061080233267321,1
"BILIRUBIN_TOTAL","1","Liver","BILIT",-0.9918274898306,0.437163236272774,0.0232816684628192,0.958567629030038
"BILIRUBIN_TOTAL","2","Liver","BILIT",-0.616281586873978,0.0805418793571672,1.97619698383278e-14,1
"BILIRUBIN_TOTAL","3","Liver","BILIT",-0.694391694977773,0.074762096649942,0,1
"BMI","1","Metabolism","BMI",0.0350642203548528,0.0463719560659157,0.449558416475755,1
"BMI","2","Metabolism","BMI",-0.0396388215874475,0.0291332854434309,0.173639334831922,1
"BMI","3","Metabolism","BMI",-0.103461319411635,0.0294433403794687,0.000441558372469952,1
"CALCIUM_BLOOD","1","Musculoskeletal","Ca",-1.19194066757035,0.366462585223316,0.00114371411650271,0.936099076241634
"CALCIUM_BLOOD","2","Musculoskeletal","Ca",-3.26949607095218,0.239806312550197,0,1.17638121466257e-10
"CALCIUM_BLOOD","3","Musculoskeletal","Ca",-3.83146305477278,0.245484200961538,0,0
"CK_CREAT","1","Musculoskeletal","CK",0.642312542198462,0.223287993532944,0.00401971681965763,0.999999648985842
"CK_CREAT","2","Musculoskeletal","CK",0.382879998878062,0.128872486546798,0.00296832970652616,1
"CK_CREAT","3","Musculoskeletal","CK",0.285311502102669,0.228369955434032,0.211541092618001,0.999999999928969
"Cl","1","Renal","Cl",1.38963570600242,0.334956044663759,3.34353114852526e-05,0.859004050874885
"Cl","2","Renal","Cl",0.101096584534015,0.202233915176665,0.617146013394182,1
"Cl","3","Renal","Cl",-0.275323595555355,0.221352927817526,0.21356515779944,0.999999999986503
"BPd","1","Renal","DBP",0.965047679125216,0.143685931495879,1.86308746208397e-11,0.999999976588668
"BPd","2","Renal","DBP",1.62168741828285,0.101819016260753,0,0.896201844476399
"BPd","3","Renal","DBP",1.14503842770001,0.1144005244436,0,0.999999938203765
"EOS","1","Immune","EOS",-0.062810771743199,0.0430276697079767,0.144351568864687,1
"EOS","2","Immune","EOS",-0.101620901222388,0.0326670872742022,0.00186578823451455,1
"EOS","3","Immune","EOS",-0.148795923969986,0.0282447520385041,1.37849773151899e-07,1
"FOLIC_ACID","1","Iron","FA",-0.134687928332827,1.77049954683925,0.939360698883996,0.819207275262607
"FOLIC_ACID","2","Iron","FA",1.16931111658745,1.16893808343572,0.317156096434578,0.690323019506597
"FOLIC_ACID","3","Iron","FA",4.74156482396178,1.915259910756,0.0132983843152896,0.0591483707083241
"FERRITIN","1","Iron","FER",0.521287214280307,0.222216584360758,0.0189836448580312,0.999999983928825
"FERRITIN","2","Iron","FER",-0.518508348476041,0.138885111444699,0.000188940999025,1
"FERRITIN","3","Iron","FER",-1.42778910748567,0.133826008497625,0,0.991972990119929
"FIBRINOGEN","1","Coagulation","Fgn",NA,NA,NA,NA
"FIBRINOGEN","2","Coagulation","Fgn",5.07585309057072,5.03853064137535,0.313739033124633,0.254599986376122
"FIBRINOGEN","3","Coagulation","Fgn",8.62148576413114,NA,NA,NA
"T3_FREE","1","Thyroid","FT3",0.79942709717791,0.775920847139326,0.302871710018455,0.889729351559465
"T3_FREE","2","Thyroid","FT3",1.18148261751595,0.57366400728128,0.0394427627953273,0.839164168782075
"T3_FREE","3","Thyroid","FT3",2.77758491136513,0.375342992009937,1.36113342819044e-13,0.00309331380590505
"T4_FREE","1","Thyroid","FT4",0.123432811914999,0.366853724263026,0.736521528000403,0.999995371326584
"T4_FREE","2","Thyroid","FT4",-1.86794988698032,0.462920717333522,5.45697579390492e-05,0.399440716294805
"T4_FREE","3","Thyroid","FT4",-2.26587376158249,0.586651230085224,0.000112284759900438,0.189604841646226
"GAMMA_GLUTAMYL_TRANSPEPTIDASE","1","Liver","GGT",-0.0998284619615151,0.048774548025272,0.0406843375559851,1
"GAMMA_GLUTAMYL_TRANSPEPTIDASE","2","Liver","GGT",-0.34034953504196,0.0417982892845851,4.44089209850063e-16,1
"GAMMA_GLUTAMYL_TRANSPEPTIDASE","3","Liver","GGT",-0.337625991122117,0.0371933626833471,0,1
"GLOBULIN","1","Liver","GLB",-0.00140612580823317,0.106014799128244,0.98941757954413,1
"GLOBULIN","2","Liver","GLB",0.0242389305990683,0.0700859478643454,0.729458604318739,1
"GLOBULIN","3","Liver","GLB",-0.118679292272797,0.0681912203711087,0.081790626512902,1
"GLUCOSE_BLOOD","1","Metabolism","Glucose",-0.465497629893502,0.217784204139941,0.0325633550010545,0.9999999981609
"GLUCOSE_BLOOD","2","Metabolism","Glucose",-0.942072347219628,0.183800561658413,2.96727156179344e-07,0.999994478563708
"GLUCOSE_BLOOD","3","Metabolism","Glucose",-1.13096104257095,0.160174606148746,1.65556457432103e-12,0.999944404379277
"HEMOGLOBIN_A1C_CALCULATED","1","Metabolism","HbA1c",-0.828516675812358,0.190405029822272,1.35309166147124e-05,0.999999349481671
"HEMOGLOBIN_A1C_CALCULATED","2","Metabolism","HbA1c",-1.64877059234937,0.198535270702884,0,0.694932663016631
"HEMOGLOBIN_A1C_CALCULATED","3","Metabolism","HbA1c",-0.831474286171458,0.126857178705113,5.58613155732246e-11,0.999999999999777
"HCT","1","RBCs","Hct",0.00855775605125404,0.00203491379440551,2.60547431658598e-05,1
"HCT","2","RBCs","Hct",0.0206198092363758,0.001138031694325,0,1
"HCT","3","RBCs","Hct",0.0203745096843138,0.00123147686153853,0,1
"CHOLESTEROL_HDL","1","Metabolism","HDL",1.10856083140866,0.367454974611736,0.00255406327470098,0.959562069286759
"CHOLESTEROL_HDL","2","Metabolism","HDL",2.13863279210889,0.263021245677671,4.44089209850063e-16,0.0697612050160945
"CHOLESTEROL_HDL","3","Metabolism","HDL",1.8382374817725,0.29705905361195,6.08854300310213e-10,0.383219192765636
"HGB","1","Iron","Hgb",-0.413290579500128,0.135010968098632,0.00220479034599141,1
"HGB","2","Iron","Hgb",-1.14923615428289,0.0794007694256422,0,0.999999999999981
"HGB","3","Iron","Hgb",-1.21872766358149,0.0851463911275573,0,0.999999999780538
"IRON","1","Iron","Iron",0.337038538235705,0.136662461325736,0.0136550666763742,1
"IRON","2","Iron","Iron",0.304623533300631,0.0969167560131299,0.0016714233599513,1
"IRON","3","Iron","Iron",0.19265165836276,0.110669914397859,0.0817226484660596,1
"K","1","Renal","K",-1.65889561451485,0.255748441100619,8.78912498336604e-11,0.639164545769326
"K","2","Renal","K",-1.01275051447825,0.181894828405616,2.5800425129674e-08,0.999974735172915
"K","3","Renal","K",-1.07918958401053,0.183073853028908,3.75063069490977e-09,0.99987592028258
"LACTIC_DEHYDROGENASE_LDH__BLOOD","1","Musculoskeletal","LDH",-2.33027423053356,0.608988601097597,0.000129996048164438,0.170333270465741
"LACTIC_DEHYDROGENASE_LDH__BLOOD","2","Musculoskeletal","LDH",-0.657060930576677,0.276133697154665,0.0173360070499218,0.999962211107201
"LACTIC_DEHYDROGENASE_LDH__BLOOD","3","Musculoskeletal","LDH",-0.110043878470648,0.345264540211899,0.749936289996852,0.999998982181672
"CHOLESTEROL_LDL","1","Metabolism","LDL",-1.04049859283678,0.553416029837178,0.0600892517291822,0.900085667338389
"CHOLESTEROL_LDL","2","Metabolism","LDL",0.829319603225585,0.415040364344954,0.045698651005313,0.986732508827823
"CHOLESTEROL_LDL","3","Metabolism","LDL",1.29968342931042,0.356810341589913,0.000269997802344824,0.896536659049474
"LYMP","1","Immune","LYMP",0.0389359496619532,0.0069479419103946,2.09515846893993e-08,1
"LYMP","2","Immune","LYMP",0.0542856035417603,0.00455301002886959,0,1
"LYMP","3","Immune","LYMP",0.0480836855626454,0.00498471493466798,0,1
"MCHC","1","Iron","MCHC",7.35106544741163e-06,2.00939816575265e-06,0.000253852286415057,1
"MCHC","2","Iron","MCHC",9.64158031079481e-06,1.32299605504474e-06,3.15303338993544e-13,1
"MCHC","3","Iron","MCHC",4.84602769974928e-06,1.48091046524775e-06,0.00106665008066287,1
"MCV","1","RBCs","MCV",0.339620872227636,0.406321985329231,0.403243945446281,0.999740822382446
"MCV","2","RBCs","MCV",1.44649593271556,0.273370094984986,1.21418984200261e-07,0.866550340533581
"MCV","3","RBCs","MCV",1.68962404962354,0.296392206921452,1.19361345252145e-08,0.580707159823337
"MONO","1","Immune","MONO",0.533041004858067,0.174145605039951,0.00220678189508261,0.999999999998608
"MONO","2","Immune","MONO",0.886357155060342,0.141230013167873,3.47432305147777e-10,0.999999999517672
"MONO","3","Immune","MONO",1.60066955520725,0.148111811319059,0,0.843327441141141
"MPV","1","Coagulation","MPV",0.00856620189783035,0.0198309697024632,0.665769890776812,1
"MPV","2","Coagulation","MPV",0.0223088241001881,0.0143168693521348,0.119181238931283,1
"MPV","3","Coagulation","MPV",-0.0424665105790108,0.0151055898604974,0.00493400724708271,1
"Na","1","Renal","Na",-2.74275092844548,0.20950041573422,0,1.0756885164831e-06
"Na","2","Renal","Na",-2.09770131898386,0.118618350395265,0,0.00168794626106972
"Na","3","Renal","Na",-2.05233522187251,0.136319093114529,0,0.0132825505296533
"NEUT","1","Immune","NEUT",-1.16580024143191,0.156645609359819,9.9031893796564e-14,0.999904045540282
"NEUT","2","Immune","NEUT",-2.00281226440324,0.103225401120049,0,0.0071601188831667
"NEUT","3","Immune","NEUT",-2.10609791368574,0.102253700619149,0,0.000248383042134925
"PHOSPHORUS_BLOOD","1","Musculoskeletal","P",0.420347257711205,0.0965350270918547,1.33462565323761e-05,1
"PHOSPHORUS_BLOOD","2","Musculoskeletal","P",0.322015032316859,0.0667208693466272,1.39091885964504e-06,1
"PHOSPHORUS_BLOOD","3","Musculoskeletal","P",0.254068364055225,0.0636995365217574,6.64802499679151e-05,1
"PLT","1","Coagulation","PLT",0.926164181565096,0.347186029312155,0.00763881247665532,0.991175347783318
"PLT","2","Coagulation","PLT",1.85120076634908,0.242697458534027,2.39808173319034e-14,0.338345342790445
"PLT","3","Coagulation","PLT",2.72605850631308,0.24775762400434,0,4.08138890455323e-05
"RBC","1","RBCs","RBC",0.738217411996197,0.150553778420579,9.42173513651667e-07,0.999999999990939
"RBC","2","RBCs","RBC",1.90874469443422,0.0922154369014833,0,0.0425841756006186
"RBC","3","RBCs","RBC",1.95823781908083,0.0987296539658956,0,0.0174648700748981
"RDW","1","RBCs","RDW",-0.0722503225033551,0.0919696941650126,0.432108677710392,1
"RDW","2","RBCs","RDW",-0.0229977960813968,0.058151392627732,0.692487621587976,1
"RDW","3","RBCs","RDW",0.0948501891460774,0.0594041493681853,0.110334157982844,1
"BPs","1","Renal","SBP",-1.53894088027096,0.502444284802661,0.00219197058037857,0.66278091402477
"BPs","2","Renal","SBP",-1.96860842123317,0.322654116429741,1.05211550582851e-09,0.249034303391401
"BPs","3","Renal","SBP",-0.115717037750773,0.325969744529844,0.722594696927268,0.999999732899561
"CREATININE_BLOOD","1","Renal","sCr",-1.35353534146867,0.173137233931428,5.32907051820075e-15,0.988986058840934
"CREATININE_BLOOD","2","Renal","sCr",-1.93299410812299,0.247433597318147,5.55111512312578e-15,0.229780913730296
"CREATININE_BLOOD","3","Renal","sCr",-1.7380537434375,0.0838755343499326,0,0.556629176946629
"SPECIFIC_GRAVITY","1","Renal","SG",3.21353287296659,2.31023049133751,0.164225130169385,0.263203328094913
"SPECIFIC_GRAVITY","2","Renal","SG",1.66856514557878,2.72206770275806,0.539891486724577,0.511933193670881
"SPECIFIC_GRAVITY","3","Renal","SG",-1.74066363952355,3.411095304638,0.609845059559188,0.501091926186736
"CHOLESTEROL","1","Metabolism","TC",-0.0504482232198196,0.35014468251551,0.885438701784159,0.999999394580833
"CHOLESTEROL","2","Metabolism","TC",4.3982476341085,0.268430826670469,0,0
"CHOLESTEROL","3","Metabolism","TC",6.29952877273877,0.321740716417134,0,0
"TRIGLYCERIDES","1","Metabolism","TGs",0.0843439927129234,0.355780649548399,0.812604504401081,0.999998577427736
"TRIGLYCERIDES","2","Metabolism","TGs",2.65536143184793,0.300679449776948,0,0.0013017217003497
"TRIGLYCERIDES","3","Metabolism","TGs",4.31812208142055,0.285993338939757,0,0
"PROTEIN_TOTAL_BLOOD","1","Liver","TP",1.32055804887587,0.190905534172628,4.6020964816762e-12,0.987759640600653
"PROTEIN_TOTAL_BLOOD","2","Liver","TP",3.16565190129908,0.124153683583694,0,0
"PROTEIN_TOTAL_BLOOD","3","Liver","TP",4.10802059998825,0.127788241680932,0,0
"TRANSFERRIN","1","Iron","TRSF",0.49309614148086,1.14247894558459,0.666030740478994,0.86436769070606
"TRANSFERRIN","2","Iron","TRSF",-5.32001968907593,0.904390396092156,4.04268796216911e-09,3.94969540506995e-05
"TRANSFERRIN","3","Iron","TRSF",-9.07734128430531,1.001863335612,0,1.29896093881143e-13
"TSH_THYROID_STIMULATING_HORMONE","1","Thyroid","TSH",0.88817081385864,1.33350172213771,0.505382980330964,0.740954305518786
"TSH_THYROID_STIMULATING_HORMONE","2","Thyroid","TSH",-0.642947828164153,0.796623421528309,0.419613887518265,0.91768706674995
