"","age","ALBUMIN","BPs","CHOLESTEROL","CHOLESTEROL_LDL","CREATININE_BLOOD","FERRITIN","FIBRINOGEN","GLUCOSE_BLOOD","HEMOGLOBIN_A1C_CALCULATED","LACTIC_DEHYDROGENASE_LDH__BLOOD","TRIGLYCERIDES","PHOSPHATASE_ALKALINE","ALT_Alanine_aminotransferase_GPT","RDW","SPECIFIC_GRAVITY","TRANSFERRIN","URIC_ACID","UREA_BLOOD","PROTEIN_TOTAL_BLOOD","MCV","T3_FREE","BPd","Na","K","LYMP","GAMMA_GLUTAMYL_TRANSPEPTIDASE","AST_Aspartate_aminotransferase_GOT","BMI","BILIRUBIN_TOTAL","MONO","RBC","PHOSPHORUS_BLOOD","PLT","HCT","CALCIUM_BLOOD","CK_CREAT","MCHC","NEUT","BASOPHILES_abs","HGB","GLOBULIN","TSH_THYROID_STIMULATING_HORMONE","WBC","EOS","FOLIC_ACID","T4_FREE","IRON","MPV","CHOLESTEROL_HDL","Cl"
"ALT_Alanine_aminotransferase_GPT",29088,29087,23890,29072,13731,29086,17894,2669,14168,29039,26624,14084,26712,29088,29043,2239,8963,29081,29082,29077,29043,4440,23782,29088,29083,28932,29088,29068,28670,26704,28932,29043,29081,29042,29061,29073,14535,29042,28932,28932,29043,29077,1506,29043,28932,12695,4442,29075,29042,4501,29088
"RDW",32916,29085,24365,32179,13766,29082,19280,2716,16160,32796,26581,14117,26706,29043,32916,2271,8999,29074,29077,29074,32916,4436,24252,29085,29077,32795,29080,29023,32428,26694,32795,32916,29077,32915,32823,29068,14513,32823,32795,32795,32916,29074,1505,32915,32795,15884,4438,29063,32915,4500,29085
"SPECIFIC_GRAVITY",2342,2242,2268,2254,1074,2241,1107,0,1092,2272,2240,1089,2242,2239,2271,2342,0,2242,2242,2241,2271,2228,2254,2242,2241,2263,2242,2239,2318,2241,2263,2271,2242,2271,2271,2242,0,2271,2263,2263,2271,2241,0,2270,2263,0,2228,2240,2271,0,2242
"TRANSFERRIN",9005,8965,4692,8971,4304,8963,8979,1392,4463,8993,6534,4442,6607,8963,8999,0,9005,8959,8959,8959,8999,0,4674,8965,8965,8979,8963,8959,8811,6607,8979,8999,8959,8999,9001,8959,6607,8999,8979,8979,8999,8959,800,8999,8979,4832,0,8963,8999,2353,8965
"URIC_ACID",29120,29119,23920,29104,13735,29117,17906,2669,14173,29071,26619,14089,26743,29081,29074,2242,8959,29120,29118,29113,29074,4443,23812,29120,29112,28963,29119,29065,28700,26732,28963,29074,29118,29073,29092,29109,14531,29073,28963,28963,29074,29113,1506,29074,28963,12692,4445,29101,29073,4501,29120
"UREA_BLOOD",29123,29123,23924,29107,13738,29122,17904,2669,14175,29074,26620,14092,26745,29082,29077,2242,8959,29118,29123,29116,29077,4443,23816,29123,29115,28966,29120,29066,28703,26734,28966,29077,29121,29076,29095,29112,14532,29076,28966,28966,29077,29116,1506,29077,28966,12694,4445,29103,29076,4501,29123
"PROTEIN_TOTAL_BLOOD",29118,29118,23919,29102,13738,29117,17904,2669,14173,29069,26614,14089,26739,29077,29074,2241,8959,29113,29116,29118,29074,4440,23811,29117,29109,28964,29114,29061,28698,26728,28964,29074,29117,29073,29091,29106,14529,29073,28964,28964,29074,29118,1506,29074,28964,12692,4442,29098,29073,4501,29117
"MCV",32916,29085,24365,32179,13766,29082,19280,2716,16160,32796,26581,14117,26706,29043,32916,2271,8999,29074,29077,29074,32916,4436,24252,29085,29077,32795,29080,29023,32428,26694,32795,32916,29077,32915,32823,29068,14513,32823,32795,32795,32916,29074,1505,32915,32795,15884,4438,29063,32915,4500,29085
"T3_FREE",4447,4443,4246,4447,2131,4442,1827,0,2151,4435,4441,2155,4443,4440,4436,2228,0,4443,4443,4440,4436,4447,4221,4443,4442,4422,4443,4440,4389,4440,4422,4436,4442,4435,4436,4443,800,4436,4422,4422,4436,4440,0,4436,4422,797,4447,4440,4435,0,4443
"BPd",25333,23821,25333,23888,11204,23818,13238,2601,11731,24222,21494,11520,21557,23782,24252,2254,4674,23812,23816,23811,24252,4221,25333,23820,23817,24150,23817,23775,24996,21546,24150,24252,23816,24251,24184,23806,9993,24166,24150,24150,24252,23811,1419,24251,24150,9397,4223,23801,24251,4297,23820
"Na",29131,29130,23928,29115,13744,29126,17912,2669,14182,29082,26626,14098,26751,29088,29085,2242,8965,29120,29123,29117,29085,4443,23820,29131,29123,28974,29126,29068,28711,26739,28974,29085,29122,29084,29103,29114,14538,29084,28974,28974,29085,29117,1506,29085,28974,12702,4445,29108,29084,4501,29131
"K",29123,29122,23925,29107,13739,29118,17905,2669,14177,29074,26626,14093,26744,29083,29077,2241,8965,29112,29115,29109,29077,4442,23817,29123,29123,28966,29119,29068,28703,26732,28966,29077,29114,29076,29095,29106,14535,29076,28966,28966,29077,29109,1506,29077,28966,12697,4444,29102,29076,4501,29123
"LYMP",32795,28974,24261,32062,13716,28971,19198,2705,16101,32679,26484,14060,26609,28932,32795,2263,8979,28963,28966,28964,32795,4422,24150,28974,28966,32795,28969,28912,32309,26598,32795,32795,28966,32795,32703,28957,14492,32703,32795,32795,32795,28964,1496,32795,32795,15862,4424,28953,32795,4461,28974
"GAMMA_GLUTAMYL_TRANSPEPTIDASE",29126,29125,23925,29110,13739,29123,17909,2669,14177,29077,26626,14093,26750,29088,29080,2242,8963,29119,29120,29114,29080,4443,23817,29126,29119,28969,29126,29068,28706,26738,28969,29080,29119,29079,29098,29111,14538,29079,28969,28969,29080,29114,1506,29080,28969,12698,4445,29108,29079,4501,29126
"AST_Aspartate_aminotransferase_GOT",29068,29067,23883,29052,13721,29066,17875,2669,14158,29019,26619,14074,26692,29068,29023,2239,8959,29065,29066,29061,29023,4440,23775,29068,29068,28912,29068,29068,28650,26686,28912,29023,29065,29022,29041,29057,14519,29022,28912,28912,29023,29061,1506,29023,28912,12680,4442,29057,29022,4501,29068
"BMI",33981,28711,25114,31772,13598,28707,19021,2627,15959,32371,26309,13938,26432,28670,32428,2318,8811,28700,28703,28698,32428,4389,24996,28711,28703,32309,28706,28650,33981,26420,32309,32428,28703,32427,32356,28694,14357,32336,32309,32309,32428,28698,1466,32427,32309,15728,4391,28688,32427,4387,28711
"BILIRUBIN_TOTAL",26739,26739,21643,26727,12674,26737,15529,1287,12990,26692,26620,12909,26738,26704,26694,2241,6607,26732,26734,26728,26694,4440,21546,26739,26732,26598,26738,26686,26420,26739,26598,26694,26733,26693,26712,26724,14533,26693,26598,26598,26694,26728,698,26694,26598,12694,4442,26730,26693,2129,26739
"MONO",32795,28974,24261,32062,13716,28971,19198,2705,16101,32679,26484,14060,26609,28932,32795,2263,8979,28963,28966,28964,32795,4422,24150,28974,28966,32795,28969,28912,32309,26598,32795,32795,28966,32795,32703,28957,14492,32703,32795,32795,32795,28964,1496,32795,32795,15862,4424,28953,32795,4461,28974
"RBC",32916,29085,24365,32179,13766,29082,19280,2716,16160,32796,26581,14117,26706,29043,32916,2271,8999,29074,29077,29074,32916,4436,24252,29085,29077,32795,29080,29023,32428,26694,32795,32916,29077,32915,32823,29068,14513,32823,32795,32795,32916,29074,1505,32915,32795,15884,4438,29063,32915,4500,29085
"PHOSPHORUS_BLOOD",29123,29123,23924,29107,13737,29121,17905,2669,14175,29074,26619,14091,26744,29081,29077,2242,8959,29118,29121,29117,29077,4442,23816,29122,29114,28966,29119,29065,28703,26733,28966,29077,29123,29076,29095,29111,14532,29076,28966,28966,29077,29117,1506,29077,28966,12695,4444,29102,29076,4501,29122
"PLT",32915,29084,24364,32178,13765,29081,19280,2716,16159,32795,26580,14116,26705,29042,32915,2271,8999,29073,29076,29073,32915,4435,24251,29084,29076,32795,29079,29022,32427,26693,32795,32915,29076,32915,32822,29067,14512,32822,32795,32795,32915,29073,1505,32914,32795,15883,4437,29062,32915,4500,29084
"HCT",32843,29103,24295,32197,13773,29100,19270,2716,16134,32732,26599,14125,26724,29061,32823,2271,9001,29092,29095,29091,32823,4436,24184,29103,29095,32703,29098,29041,32356,26712,32703,32823,29095,32822,32843,29086,14531,32823,32703,32703,32823,29091,1505,32822,32703,15869,4438,29081,32822,4500,29103
"CALCIUM_BLOOD",29114,29113,23914,29098,13733,29111,17906,2669,14171,29065,26611,14087,26736,29073,29068,2242,8959,29109,29112,29106,29068,4443,23806,29114,29106,28957,29111,29057,28694,26724,28957,29068,29111,29067,29086,29114,14523,29067,28957,28957,29068,29106,1506,29068,28957,12685,4445,29099,29067,4501,29114
"CK_CREAT",14538,14537,10019,14532,6925,14536,7984,0,7064,14515,14452,6973,14538,14535,14513,0,6607,14531,14532,14529,14513,800,9993,14538,14535,14492,14538,14519,14357,14533,14492,14513,14532,14512,14531,14523,14538,14512,14492,14492,14513,14529,0,14513,14492,12694,801,14527,14512,0,14538
"MCHC",32823,29084,24277,32178,13766,29081,19262,2716,16126,32713,26580,14117,26705,29042,32823,2271,8999,29073,29076,29073,32823,4436,24166,29084,29076,32703,29079,29022,32336,26693,32703,32823,29076,32822,32823,29067,14512,32823,32703,32703,32823,29073,1505,32822,32703,15850,4438,29062,32822,4500,29084
"NEUT",32795,28974,24261,32062,13716,28971,19198,2705,16101,32679,26484,14060,26609,28932,32795,2263,8979,28963,28966,28964,32795,4422,24150,28974,28966,32795,28969,28912,32309,26598,32795,32795,28966,32795,32703,28957,14492,32703,32795,32795,32795,28964,1496,32795,32795,15862,4424,28953,32795,4461,28974
"BASOPHILES_abs",32795,28974,24261,32062,13716,28971,19198,2705,16101,32679,26484,14060,26609,28932,32795,2263,8979,28963,28966,28964,32795,4422,24150,28974,28966,32795,28969,28912,32309,26598,32795,32795,28966,32795,32703,28957,14492,32703,32795,32795,32795,28964,1496,32795,32795,15862,4424,28953,32795,4461,28974
