"","(Intercept)","age","PROTEIN_TOTAL_BLOOD","CHOLESTEROL","HEMOGLOBIN_A1C_CALCULATED","FIBRINOGEN","PHOSPHATASE_ALKALINE","UREA_BLOOD","BPs","T3_FREE","NEUT","TRANSFERRIN","RBC","N"
"(Intercept)",1.00006078718297,54.5,7.20769476599715,195.108246722995,5.6028824281356,454.647860249957,75.7870652985119,30.4172547245488,120.520868252562,4.66168952595468,3.9706846553933,271.82029428459,4.49288736053861,NA
"age",54.5,3378.70971592755,390.522906984746,10912.5786338064,310.1693214342,25582.1028000951,4261.66581443552,1780.64552919142,6717.23314405419,250.90897264768,217.912099271964,14477.6475113602,244.064973279793,NA
"PROTEIN_TOTAL_BLOOD",7.20769476599715,390.522906984746,52.208829231558,1406.83220023823,40.4036665649091,3286.86515939457,547.264446783463,219.364959805308,869.41019398966,33.6349465584487,28.5527464925689,1961.39835575956,32.4248486119343,NA
"CHOLESTEROL",195.108246722995,10912.5786338064,1406.83220023823,39514.5540515107,1094.17870361661,89059.9897898184,14905.3683708849,5944.82835657467,23608.7572301773,907.612404158079,776.099235165769,53266.9830902778,877.45860176064,NA
"HEMOGLOBIN_A1C_CALCULATED",5.6028824281356,310.1693214342,40.4036665649091,1094.17870361661,31.648155145687,2562.87002302482,427.367725786357,171.56398200315,677.175768360703,26.1047044669684,22.2766568649627,1520.67532442649,25.2015527848197,NA
"FIBRINOGEN",454.647860249957,25582.1028000951,3286.86515939457,89059.9897898184,2562.87002302482,222936.519003733,35558.7125634649,14100.8720707866,55113.7773198228,2111.89102931643,1847.51407339371,122852.863872751,2046.22886827335,NA
"PHOSPHATASE_ALKALINE",75.7870652985119,4261.66581443552,547.264446783463,14905.3683708849,427.367725786357,35558.7125634649,6432.28556231038,2334.49202277953,9201.82430102572,354.658800477341,305.694982448448,20575.8213330692,341.490963861845,NA
"UREA_BLOOD",30.4172547245488,1780.64552919142,219.364959805308,5944.82835657467,171.56398200315,14100.8720707866,2334.49202277953,1053.6534950447,3710.79040314624,140.575757175625,119.99181892084,8146.19339053346,136.244991626772,NA
"BPs",120.520868252562,6717.23314405419,869.41019398966,23608.7572301773,677.175768360703,55113.7773198228,9201.82430102572,3710.79040314624,14761.6392550035,561.034432076565,477.320336802893,32658.6087944813,541.808236156778,NA
"T3_FREE",4.66168952595468,250.90897264768,33.6349465584487,907.612404158079,26.1047044669684,2111.89102931643,354.658800477341,140.575757175625,561.034432076565,22.2089183184333,18.5268489134729,1270.14743772905,20.9729848537458,NA
"NEUT",3.9706846553933,217.912099271964,28.5527464925689,776.099235165769,22.2766568649627,1847.51407339371,305.694982448448,119.99181892084,477.320336802893,18.5268489134729,18.2283344709945,1091.33556295046,17.8856178708249,NA
"TRANSFERRIN",271.82029428459,14477.6475113602,1961.39835575956,53266.9830902778,1520.67532442649,122852.863872751,20575.8213330692,8146.19339053346,32658.6087944813,1270.14743772905,1091.33556295046,76258.4724768056,1221.1761661341,NA
"RBC",4.49288736053861,244.064973279793,32.4248486119343,877.45860176064,25.2015527848197,2046.22886827335,341.490963861845,136.244991626772,541.808236156778,20.9729848537458,17.8856178708249,1221.1761661341,20.3565720092,NA
