,0
const,54.500000000000114
ALBUMIN,-2.5894490492247972
CHOLESTEROL,3.3492751458232934
HEMOGLOBIN_A1C_CALCULATED,4.412969950611847
FIBRINOGEN,2.4678600918853935
PHOSPHATASE_ALKALINE,2.002762254036466
UREA_BLOOD,5.1892357646126825
BPs,4.398108511825969
T3_FREE,-1.7315304312618593
PCT,-1.2999060412246606
TRANSFERRIN,-2.8779858251805397
RDW_SD,2.8915324272693184
